category,stockNo,stockName,lastPrice,revenue,revenueGrowthYOY,operatingProfit,operatingProfitMargin,netProfit,netProfitMargin,EPS,EPSGrowthYOYPercent,yrEnd
Semiconductors,08555.HK,PFC DEVICE-OLD,0.820,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Software,01675.HK,ASIAINFO TECH,12.820,7.18B,12.000%,920.51M,12.829%,789.16M,10.999%,1.013,61.891%,2020/12
Software,01679.HK,RISECOMM GP,0.183,253.56M,3.000%,-124.41M,-49.066%,-150.22M,-59.245%,-0.152,50.580%,2020/12
Software,02939.HK,KINGSOFT-1000,46.200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Software,03315.HK,GOLDPAC GROUP,1.760,1.53B,-3.000%,201.72M,13.202%,173.62M,11.363%,0.210,-12.282%,2020/12
Software,03738.HK,VOBILE GROUP,33.850,340.16M,132.000%,67.20M,19.754%,81.24M,23.884%,0.189,N/A,2020/12
Software,03888.HK,KINGSOFT-200,44.800,6.67B,36.000%,2.21B,33.161%,11.97B,179.560%,8.760,N/A,2020/12
Software,08076.HK,SING LEE,0.090,101.95M,-29.000%,-40.41M,-39.641%,-37.19M,-36.481%,-0.028,N/A,2020/12
Software,08106.HK,SHENGHUA LANDE,0.167,283.23M,-11.000%,6.62M,2.337%,5.99M,2.115%,0.012,16.034%,2020/12
Software,08131.HK,ABC MULTIACTIVE,0.027,16.63M,-4.000%,631.00K,3.795%,-2.99M,-17.966%,-0.010,40.000%,2020/11
Software,08148.HK,AURUM PACIFIC,0.023,31.42M,-21.000%,-91.26M,-290.449%,-71.61M,-227.915%,-0.056,-16.563%,2020/12
IT Hardware,00143.HK,GUOAN INTL,0.050,207.79M,89.000%,-43.77M,-21.066%,-45.42M,-21.857%,-0.006,-5.357%,2019/12
Satellite & Aerospace,00232.HK,AVIC INT'L,0.130,1.25B,-14.000%,-336.30M,-26.972%,-756.74M,-60.694%,-0.081,"-1,301.724%",2020/12
Software,08290.HK,AHSAY BACKUP,0.026,54.84M,-7.000%,-4.70M,-8.571%,-3.66M,-6.681%,-0.002,N/A,2020/12
Software,08353.HK,ANACLE,0.470,103.85M,36.000%,3.85M,3.706%,1.46M,1.408%,0.004,N/A,2020/05
Software,08561.HK,FINSOFT FIN,0.265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
IT Hardware,00259.HK,YEEBO (INT'L H),2.830,891.97M,9.000%,32.31M,24.067%,187.73M,21.047%,0.191,52.800%,2021/03
IT Hardware,00334.HK,CH DISPLAY OPT,0.560,5.19B,-14.000%,20.34M,0.392%,29.97M,0.578%,0.014,-49.008%,2020/12
IT Hardware,00479.HK,CIL HOLDINGS,0.010,135.12M,73.000%,-54.87M,-40.610%,-56.01M,-41.447%,-0.013,59.248%,2019/06
IT Hardware,00529.HK,SIS INT'L,1.810,7.58B,18.000%,-304.26M,-4.016%,-310.04M,-4.092%,-1.115,N/A,2020/12
IT Hardware,00553.HK,NANJING PANDA,3.960,4.71B,-9.000%,166.88M,3.543%,92.16M,1.956%,0.101,56.654%,2020/12
Satellite & Aerospace,01045.HK,APT SATELLITE,2.300,889.23M,-16.000%,303.19M,34.096%,231.46M,26.029%,0.249,-36.090%,2020/12
Satellite & Aerospace,02357.HK,AVICHINA,4.960,59.73B,21.000%,5.12B,8.567%,2.38B,3.980%,0.308,58.148%,2020/12
IT Hardware,00698.HK,TONGDA GROUP,0.485,9.76B,6.000%,429.65M,4.403%,351.34M,3.600%,0.054,-12.581%,2020/12
IT Hardware,00710.HK,BOE VARITRONIX,5.990,4.56B,25.000%,70.44M,1.556%,68.64M,1.516%,0.093,173.529%,2020/12
IT Hardware,00948.HK,ALPHA PRO HLDGS,0.770,268.10M,81.000%,-14.47M,-5.397%,-14.99M,-5.592%,-0.048,83.784%,2021/03
IT Hardware,00992.HK,LENOVO GROUP,8.830,472.27B,20.000%,16.95B,3.590%,8.83B,1.870%,0.742,71.409%,2021/03
IT Hardware,01050.HK,KARRIE INT'L,1.740,3.19B,10.000%,533.13M,16.699%,365.28M,11.441%,0.183,45.238%,2021/03
IT Hardware,01079.HK,PINE TECH,0.108,847.91M,-35.000%,-145.67M,-17.180%,-134.24M,-15.832%,-0.102,55.937%,2020/06
IT Hardware,01263.HK,PC PARTNER,4.700,7.76B,2.000%,247.72M,3.192%,207.28M,2.670%,0.560,"1,766.667%",2020/12
IT Hardware,01305.HK,WAI CHI HOLD,0.580,1.40B,-36.000%,30.70M,2.199%,30.96M,2.218%,0.140,-17.647%,2020/12
IT Hardware,01337.HK,RAZER,2.100,9.42B,47.000%,-54.08M,-0.574%,43.62M,0.463%,0.008,N/A,2020/12
IT Hardware,01478.HK,Q TECH,15.360,20.74B,40.000%,1.25B,6.014%,1.00B,4.828%,0.857,61.107%,2020/12
IT Hardware,01523.HK,PLOVER BAY TECH,1.720,409.50M,14.000%,124.37M,30.372%,110.33M,26.942%,0.104,14.030%,2020/12
IT Hardware,01985.HK,MICROWARE,1.050,1.11B,-18.000%,54.47M,4.888%,47.33M,4.248%,0.160,14.286%,2021/03
IT Hardware,02028.HK,JOLIMARK,0.270,328.93M,N/A,-22.84M,-6.944%,-29.93M,-9.100%,-0.049,25.882%,2020/12
IT Hardware,02086.HK,HNA TECH INV,0.620,112.75M,-31.000%,-19.56M,-17.346%,-20.22M,-17.937%,-0.063,-144.930%,2020/12
IT Hardware,02308.HK,EVOC,1.310,1.84B,-2.000%,297.92M,16.183%,250.94M,13.631%,0.204,-14.373%,2020/12
IT Hardware,02363.HK,TONGDA HONG TAI,0.320,472.37M,-11.000%,-165.27M,-34.988%,-165.27M,-34.988%,-0.874,-142.615%,2020/12
IT Hardware,03336.HK,JU TENG INTL,1.630,10.03B,12.000%,285.52M,2.847%,130.51M,1.301%,0.151,-5.031%,2020/12
IT Hardware,03396.HK,LEGENDHOLDING,12.560,497.70B,14.000%,18.54B,3.726%,4.61B,0.926%,1.979,14.969%,2020/12
IT Hardware,03638.HK,HUABANG TECH,0.112,2.02B,116.000%,-89.79M,-4.437%,-93.11M,-4.601%,-0.021,N/A,2021/03
IT Hardware,03991.HK,CHANGHONG JH,0.850,40.38B,34.000%,415.48M,1.029%,195.46M,0.484%,0.134,19.467%,2020/12
IT Hardware,06088.HK,FIT HON TENG,2.140,33.45B,-1.000%,967.24M,2.891%,329.57M,0.985%,0.050,-82.151%,2020/12
IT Hardware,06133.HK,VITAL INNO,0.242,1.05B,15.000%,-116.34M,-11.078%,-116.36M,-11.079%,-0.137,"-1,755.198%",2020/12
IT Hardware,06939.HK,MEGAIN,1.890,186.87M,N/A,60.19M,32.211%,34.27M,18.337%,0.092,N/A,2020/12
IT Hardware,08051.HK,CIRCUTECH,6.500,372.96M,12.000%,10.24M,2.745%,9.00M,2.412%,0.384,261.488%,2020/12
E-Commerce & Internet Services,00082.HK,CRAZY SPORTS,0.700,300.81M,61.000%,98.99M,32.909%,-131.92M,-43.854%,-0.031,30.227%,2020/12
E-Commerce & Internet Services,00136.HK,HENGTEN NET,6.190,274.27M,-27.000%,6.17M,2.251%,14.33M,5.224%,0.002,-85.785%,2020/12
E-Commerce & Internet Services,00302.HK,CMGE,3.790,4.55B,34.000%,869.36M,19.092%,835.90M,18.358%,0.357,142.677%,2020/12
E-Commerce & Internet Services,00327.HK,PAX GLOBAL,8.960,5.65B,14.000%,1.07B,18.886%,900.12M,15.930%,0.828,46.032%,2020/12
E-Commerce & Internet Services,00395.HK,SMARTAC INTL,0.016,228.43M,692.000%,-67.47M,-29.537%,-58.89M,-25.781%,-0.010,-40.088%,2020/12
E-Commerce & Internet Services,00400.HK,COGOBUY,2.890,7.37B,12.000%,253.50M,3.439%,146.84M,1.992%,0.106,23.280%,2020/12
E-Commerce & Internet Services,00434.HK,BOYAA,0.540,418.93M,15.000%,-47.04M,-11.229%,-53.76M,-12.832%,-0.081,N/A,2020/12
E-Commerce & Internet Services,00484.HK,FORGAME,1.680,72.04M,-34.000%,-53.49M,-74.252%,-58.73M,-81.522%,-0.381,76.939%,2020/12
E-Commerce & Internet Services,00536.HK,TRADELINK,1.170,277.80M,-21.000%,92.69M,35.483%,72.80M,27.870%,0.092,-10.680%,2020/12
E-Commerce & Internet Services,00543.HK,PACIFIC ONLINE,1.740,1.15B,4.000%,221.17M,19.180%,192.95M,16.733%,0.171,12.218%,2020/12
E-Commerce & Internet Services,00700.HK,TENCENT,574.500,574.57B,36.000%,219.59B,38.218%,190.52B,33.159%,20.076,82.279%,2020/12
E-Commerce & Internet Services,00772.HK,CHINA LIT,84.650,10.16B,8.000%,-5.33B,-52.484%,-5.34B,-52.592%,-5.340,N/A,2020/12
E-Commerce & Internet Services,00777.HK,NETDRAGON,20.000,7.32B,13.000%,1.30B,17.719%,1.14B,15.535%,2.040,19.588%,2020/12
E-Commerce & Internet Services,00797.HK,7ROAD,2.510,372.55M,-1.000%,9.16M,2.460%,12.06M,3.237%,0.005,N/A,2019/12
E-Commerce & Internet Services,00799.HK,IGG,9.970,5.46B,5.000%,2.32B,42.568%,2.10B,38.379%,1.723,67.801%,2020/12
E-Commerce & Internet Services,00802.HK,CHINA E-WALLET,0.120,60.32M,-35.000%,-50.53M,-83.758%,-41.80M,-69.292%,-0.015,44.118%,2020/12
E-Commerce & Internet Services,01020.HK,CYBERNAUT INT'L,0.140,339.94M,6.000%,-122.86M,-36.142%,-90.85M,-26.727%,-0.023,17.426%,2020/12
E-Commerce & Internet Services,01024.HK,KUAISHOU-W,183.200,70.06B,N/A,-12.30B,-17.558%,-139.02B,-198.440%,-149.285,N/A,2020/12
E-Commerce & Internet Services,01039.HK,CHANGYOU ALLI,0.355,320.43M,40.000%,-89.48M,-27.926%,-1.97M,-0.614%,-0.001,97.768%,2020/12
E-Commerce & Internet Services,01094.HK,C P PROCUREMENT,0.191,93.56M,27.000%,2.20M,2.346%,1.64M,1.756%,0.007,N/A,2020/12
E-Commerce & Internet Services,01119.HK,IDREAMSKY,5.000,3.83B,22.000%,-479.01M,-12.512%,-526.31M,-13.747%,-0.429,N/A,2020/12
E-Commerce & Internet Services,01137.HK,HKTV,9.600,1.97B,78.000%,184.14M,9.346%,183.58M,9.317%,0.200,N/A,2020/12
E-Commerce & Internet Services,01357.HK,MEITU,1.680,1.42B,30.000%,-48.47M,-3.406%,-48.83M,-3.431%,-0.012,88.149%,2020/12
E-Commerce & Internet Services,01736.HK,PARENTING NET,0.150,109.97M,4.000%,-57.57M,-52.349%,-114.63M,-104.236%,-0.112,N/A,2020/12
E-Commerce & Internet Services,01745.HK,LVJI TECH,1.050,351.67M,N/A,-117.81M,-33.501%,-119.96M,-34.112%,-0.083,N/A,2020/12
E-Commerce & Internet Services,01792.HK,CMON,0.050,194.90M,-17.000%,-34.76M,-17.833%,-38.02M,-19.507%,-0.021,-572.053%,2020/12
E-Commerce & Internet Services,01849.HK,AM GROUP,0.540,140.04M,-16.000%,18.55M,13.249%,14.04M,10.027%,0.017,-26.513%,2020/06
E-Commerce & Internet Services,01909.HK,FIRE ROCK,3.120,620.85M,82.000%,499.44M,80.445%,409.08M,65.890%,0.107,75.311%,2020/12
E-Commerce & Internet Services,01961.HK,JIU ZUN DIGITAL,0.520,202.84M,-17.000%,6.69M,3.299%,-1.57M,-0.776%,-0.004,N/A,2020/12
E-Commerce & Internet Services,01980.HK,TIANGE,1.060,392.90M,-27.000%,62.41M,15.884%,96.09M,24.456%,0.076,-8.985%,2020/12
"Printing, Publishing & Packaging",00055.HK,NEWAY GROUP,0.500,532.67M,-4.000%,-88.44M,-16.603%,-87.19M,-16.368%,-0.344,-183.114%,2020/12
"Printing, Publishing & Packaging",00377.HK,CHINA HUAJUN GP,4.810,4.19B,1.000%,-1.99B,-47.399%,-1.88B,-44.769%,-30.477,-157.530%,2020/12
"Printing, Publishing & Packaging",00403.HK,STARLITE HOLD,0.310,1.06B,-6.000%,-98.71M,-9.335%,-98.53M,-9.317%,-0.188,N/A,2021/03
"Printing, Publishing & Packaging",00450.HK,HUNG HING PRINT,1.250,2.55B,-17.000%,127.35M,4.986%,109.36M,4.282%,0.121,44.048%,2020/12
"Printing, Publishing & Packaging",00468.HK,GAPACK,3.280,3.62B,19.000%,549.64M,15.175%,408.54M,11.279%,0.310,10.924%,2020/12
"Printing, Publishing & Packaging",00906.HK,COFCO PACKAGING,4.610,8.75B,7.000%,604.34M,6.903%,464.11M,5.302%,0.411,42.073%,2020/12
"Printing, Publishing & Packaging",01008.HK,BRILLIANT CIR,0.400,1.34B,-10.000%,-13.22M,-0.987%,8.92M,0.666%,0.006,-94.545%,2020/12
"Printing, Publishing & Packaging",01106.HK,MING LAM HLDGS,0.010,1.13B,22.000%,-219.23M,-19.467%,-300.47M,-26.681%,-0.024,-144.898%,2018/12
"Printing, Publishing & Packaging",01127.HK,LION ROCK GROUP,0.850,1.37B,-14.000%,140.67M,10.242%,104.32M,7.596%,0.136,-24.626%,2020/12
"Printing, Publishing & Packaging",01172.HK,MAGNUSCONCORDIA,0.076,2.14B,589.000%,13.11M,0.613%,2.98M,0.139%,0.001,N/A,2021/03
"Printing, Publishing & Packaging",01239.HK,TEAMWAY INTL GP,0.250,432.46M,1.000%,-41.99M,-9.709%,-45.80M,-10.590%,-0.091,9.724%,2020/12
"Printing, Publishing & Packaging",01332.HK,TOUYUN BIOTECH,1.000,218.81M,-33.000%,-147.53M,-67.423%,-168.78M,-77.135%,-0.063,22.833%,2020/12
"Printing, Publishing & Packaging",01335.HK,SHEEN TAI,0.163,79.53M,5.000%,15.18M,19.093%,15.05M,18.929%,0.006,N/A,2020/12
"Printing, Publishing & Packaging",01412.HK,Q P GROUP,1.310,1.23B,3.000%,162.37M,13.172%,129.35M,10.494%,0.246,16.335%,2020/12
"Printing, Publishing & Packaging",01433.HK,CIRTEK HLDGS,0.048,259.31M,N/A,15.40M,5.938%,1.65M,0.635%,0.001,N/A,2020/12
"Printing, Publishing & Packaging",01439.HK,MOBILE INTERNET,0.072,255.70M,-48.000%,-201.46M,-78.788%,-284.71M,-111.342%,-0.207,42.184%,2020/12
"Printing, Publishing & Packaging",01481.HK,SMART GLOBE,0.330,127.21M,-3.000%,20.20M,15.876%,16.00M,12.578%,0.016,-30.736%,2020/12
"Printing, Publishing & Packaging",01540.HK,LEFTFIELD PRINT,0.530,329.95M,-20.000%,40.68M,12.329%,28.06M,8.504%,0.056,-13.499%,2020/12
"Printing, Publishing & Packaging",01626.HK,JIA YAO HLDGS,1.410,686.83M,5.000%,-30.76M,-4.479%,-31.23M,-4.548%,-0.107,N/A,2020/12
"Printing, Publishing & Packaging",01629.HK,CHAMP ALLI INTL,3.200,677.83M,14.000%,7.59M,1.120%,-628.13K,-0.093%,-0.001,N/A,2020/12
"Printing, Publishing & Packaging",01631.HK,REF HOLDINGS,0.610,147.50M,-22.000%,21.19M,14.366%,18.27M,12.384%,0.071,-45.496%,2020/12
"Printing, Publishing & Packaging",01689.HK,HUAXIHOLDINGS,2.670,373.39M,19.000%,112.92M,30.240%,94.28M,25.248%,0.134,14.578%,2020/12
"Printing, Publishing & Packaging",01820.HK,PM PACKAGING,6.170,2.43B,4.000%,134.95M,5.546%,93.47M,3.841%,0.310,10.924%,2020/12
"Printing, Publishing & Packaging",01841.HK,A.PLUS GROUP,0.490,134.36M,-8.000%,31.68M,23.579%,27.58M,20.530%,0.069,6.481%,2021/03
"Printing, Publishing & Packaging",01884.HK,EPRINT GROUP,0.330,266.90M,-27.000%,20.28M,7.596%,19.01M,7.122%,0.035,235.922%,2021/03
"Printing, Publishing & Packaging",01975.HK,SUN HING PRINT,0.640,311.84M,10.000%,53.75M,17.237%,44.85M,14.384%,0.093,38.988%,2020/06
"Printing, Publishing & Packaging",03363.HK,ZHENGYE INT'L,0.630,2.97B,12.000%,77.39M,2.604%,65.28M,2.197%,0.131,-26.673%,2020/12
"Printing, Publishing & Packaging",03626.HK,HSSP INTL,0.630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",06898.HK,CHINA ALUMCAN,0.490,183.92M,-10.000%,28.74M,15.624%,21.67M,11.781%,0.024,-42.857%,2020/12
"Printing, Publishing & Packaging",08291.HK,WAN CHENG METAL,0.077,47.98M,-27.000%,-28.55M,-59.508%,-27.33M,-56.957%,-0.226,15.563%,2020/12
Machinery & Equipment,00038.HK,FIRST TRACTOR,4.610,9.04B,40.000%,348.90M,3.861%,333.91M,3.695%,0.339,385.771%,2020/12
Machinery & Equipment,00057.HK,CHEN HSONG HOLD,2.780,2.36B,55.000%,268.07M,11.356%,203.02M,8.601%,0.322,116.107%,2021/03
Machinery & Equipment,00118.HK,COSMOS MACH,0.410,2.43B,3.000%,49.93M,2.053%,19.58M,0.805%,0.023,24.044%,2020/12
Machinery & Equipment,00365.HK,SINO ICT,1.100,270.56M,34.000%,33.79M,12.487%,19.65M,7.263%,0.014,N/A,2020/12
Machinery & Equipment,00387.HK,LEEPORT(HOLD),0.960,617.94M,-10.000%,9.18M,1.485%,4.45M,0.720%,0.019,N/A,2020/12
Machinery & Equipment,00558.HK,LK TECH,15.180,4.02B,46.000%,514.78M,12.802%,343.67M,8.546%,0.288,"9,500.000%",2021/03
Machinery & Equipment,00564.HK,ZMJ,10.000,31.61B,9.000%,2.30B,7.271%,1.48B,4.673%,0.852,27.051%,2020/12
Machinery & Equipment,00631.HK,SANY INT'L,7.960,8.78B,38.000%,1.42B,16.164%,1.25B,14.193%,0.405,20.879%,2020/12
Machinery & Equipment,00936.HK,EAGLE LEGEND,0.920,143.06M,14.000%,-62.49M,-43.680%,-131.90M,-92.198%,-0.124,-309.211%,2020/12
Machinery & Equipment,01157.HK,ZOOMLION,7.790,77.60B,60.000%,10.30B,13.270%,8.70B,11.206%,1.165,78.830%,2020/12
Machinery & Equipment,01289.HK,SUNLIT SCI,1.120,144.96M,-3.000%,-554.23K,-0.382%,2.88M,1.989%,0.024,-64.447%,2020/12
Machinery & Equipment,01301.HK,D&G TECH,1.360,451.65M,-9.000%,-25.35M,-5.613%,-20.55M,-4.551%,-0.033,47.617%,2020/12
Machinery & Equipment,01341.HK,HAO TIAN INTL,0.520,220.00M,14.000%,-4.00M,-1.818%,100.00M,45.455%,0.019,13.253%,2021/03
Machinery & Equipment,01496.HK,AP RENTALS,0.161,148.45M,1.000%,0.00,N/A,-5.68M,-3.829%,-0.007,71.053%,2021/03
Machinery & Equipment,01536.HK,YUK WING GP,0.250,106.69M,-40.000%,-7.43M,-6.968%,-4.41M,-4.135%,-0.012,N/A,2021/03
Machinery & Equipment,01645.HK,HAINA INTEL,1.180,565.27M,N/A,94.13M,16.651%,47.62M,8.424%,0.114,N/A,2020/12
Machinery & Equipment,01651.HK,TSUGAMI CHINA,11.060,3.69B,73.000%,685.77M,18.577%,464.19M,12.575%,1.220,172.528%,2021/03
Machinery & Equipment,01660.HK,ZHAOBANGJI PPT,0.600,240.11M,-5.000%,105.63M,43.992%,88.22M,36.742%,0.014,136.667%,2021/03
Machinery & Equipment,01673.HK,HUAZHANG TECH,1.350,403.58M,-53.000%,-79.71M,-19.752%,-84.96M,-21.052%,-0.116,42.171%,2020/06
Machinery & Equipment,01786.HK,CRCCE,0.890,1.84B,-21.000%,26.39M,1.433%,26.41M,1.434%,0.012,-86.668%,2020/12
Machinery & Equipment,01882.HK,HAITIAN INT'L,25.400,14.06B,28.000%,3.42B,24.349%,2.85B,20.237%,1.788,45.442%,2020/12
Industrial Goods,00031.HK,CHINA AEROSPACE,0.690,3.58B,3.000%,370.87M,10.360%,296.68M,8.287%,0.096,-12.306%,2020/12
Machinery & Equipment,02039.HK,CIMC,17.600,112.23B,17.000%,8.87B,7.901%,6.05B,5.681%,1.681,306.452%,2020/12
Machinery & Equipment,02102.HK,TAK LEE MACH,0.275,628.80M,9.000%,68.21M,10.847%,51.29M,8.156%,0.051,32.902%,2020/07
Machinery & Equipment,02153.HK,TAT HONG EQUIP,1.490,939.10M,N/A,176.64M,18.809%,119.89M,12.767%,0.130,N/A,2021/03
Machinery & Equipment,02155.HK,MORIMATSU INTL,10.140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Machinery & Equipment,02398.HK,GOOD FRIEND,0.960,1.04B,2.000%,65.19M,6.248%,-295.85M,-28.358%,-0.739,N/A,2020/12
Environmental Goods,00154.HK,BE ENVIRONMENT,0.540,1.79B,29.000%,225.14M,12.573%,129.03M,7.206%,0.086,-41.931%,2020/12
Industrial Goods,00076.HK,ELATE HOLDINGS,0.027,734.31M,N/A,32.91M,4.482%,23.06M,3.140%,0.004,N/A,2020/12
Industrial Goods,00096.HK,YUSEI,1.000,1.57B,7.000%,66.17M,4.213%,62.51M,3.980%,0.098,59.017%,2020/12
Industrial Goods,00148.HK,KINGBOARD HLDG,42.850,43.51B,5.000%,7.91B,18.178%,4.70B,10.809%,4.257,49.368%,2020/12
Industrial Goods,00187.HK,JINGCHENG MAC,2.020,1.30B,-2.000%,145.03M,11.181%,186.45M,14.374%,0.405,N/A,2020/12
Industrial Goods,00255.HK,LUNG KEE,3.330,2.11B,-9.000%,220.87M,10.696%,181.08M,8.770%,0.287,21.277%,2020/12
Machinery & Equipment,03339.HK,LONKING,2.450,15.35B,16.000%,2.74B,17.835%,2.34B,15.211%,0.548,29.112%,2020/12
Machinery & Equipment,03348.HK,CHINA PENGFEI,1.020,1.88B,14.000%,186.09M,9.916%,157.26M,8.380%,0.315,39.480%,2020/12
Machinery & Equipment,03628.HK,RENHENG ENT,0.140,76.28M,6.000%,2.49M,3.266%,-783.00K,-1.026%,-0.001,N/A,2020/12
Machinery & Equipment,03899.HK,CIMC ENRIC,7.980,14.65B,-4.000%,967.81M,6.607%,691.21M,4.719%,0.349,-32.649%,2020/12
Environmental Goods,00257.HK,EB ENVIRONMENT,4.370,42.93B,14.000%,11.45B,26.666%,6.02B,14.014%,0.979,15.620%,2020/12
Environmental Goods,00436.HK,NU ENVIRO,0.260,789.34M,32.000%,127.24M,16.120%,74.58M,9.448%,0.025,83.582%,2020/12
Environmental Goods,00556.HK,PAN ASIA ENVIRO,0.475,46.95M,-47.000%,-34.98M,-74.507%,-34.98M,-74.507%,-0.042,46.671%,2020/12
Environmental Goods,00586.HK,CONCH VENTURE,32.150,7.87B,37.000%,2.26B,28.763%,9.08B,115.339%,5.030,16.004%,2020/12
Environmental Goods,00658.HK,C TRANSMISSION,4.970,18.32B,68.000%,1.66B,9.036%,1.00B,5.472%,0.613,104.560%,2020/12
Industrial Goods,00515.HK,CHINASILVER TEC,0.057,237.57M,-13.000%,-75.48M,-31.770%,-74.35M,-31.296%,-0.027,29.381%,2020/12
Industrial Goods,00532.HK,WKK INTL (HOLD),1.590,4.74B,-10.000%,142.47M,3.021%,101.19M,2.145%,0.139,57.078%,2020/12
Industrial Goods,00567.HK,DAISHOMICROLINE,0.180,67.89M,-94.000%,-36.96M,-54.450%,-66.98M,-98.660%,-0.104,31.440%,2021/03
Industrial Goods,00580.HK,SUN.KING TECH,2.870,1.45B,-7.000%,247.98M,17.113%,211.25M,14.578%,0.130,-4.052%,2020/12
Environmental Goods,00706.HK,BEAUTI C HOLD,0.013,72.96M,50.000%,-96.57M,-132.369%,-113.77M,-155.935%,-0.012,16.327%,2019/12
Environmental Goods,00807.HK,SIICENVIRONMENT,1.220,7.45B,11.000%,1.41B,18.868%,757.27M,10.162%,0.291,13.000%,2020/12
Environmental Goods,00895.HK,DONGJIANG ENV,4.340,3.95B,2.000%,519.32M,13.143%,361.34M,9.145%,0.405,-24.451%,2020/12
Environmental Goods,00979.HK,GREEN ENERGY GP,0.280,113.86M,17.000%,-27.86M,-24.464%,-26.33M,-23.122%,-0.023,14.599%,2020/06
Environmental Goods,01196.HK,REALORD GROUP,11.380,869.34M,4.000%,1.45B,166.790%,885.19M,101.823%,0.616,N/A,2020/12
Industrial Goods,00591.HK,C HIGHPRECISION,1.220,108.75M,-27.000%,-105.59M,-97.096%,-96.40M,-88.644%,-0.093,-78.556%,2020/06
Industrial Goods,00641.HK,CHTC FONG'S INT,0.480,2.28B,-14.000%,47.51M,2.088%,6.29M,0.276%,0.006,-96.287%,2020/12
Industrial Goods,00675.HK,K & P INT'L,0.830,341.76M,N/A,49.10M,14.368%,66.91M,19.578%,0.251,301.603%,2020/12
Industrial Goods,00679.HK,ASIA TELE-NET,1.230,335.10M,-6.000%,244.02M,72.820%,138.77M,41.412%,0.330,-77.083%,2020/12
Industrial Goods,00725.HK,PERENNIAL INT'L,0.800,282.34M,-6.000%,-19.70M,-6.976%,-19.23M,-6.811%,-0.097,-46.970%,2020/12
Environmental Goods,01257.HK,CEB GREENTECH,2.920,9.84B,5.000%,2.14B,21.788%,1.50B,15.277%,0.727,-7.339%,2020/12
Environmental Goods,01272.HK,DATANG ENVIRO,1.000,8.13B,13.000%,437.20M,5.378%,360.99M,4.440%,0.119,52.368%,2020/12
Environmental Goods,01296.HK,GUODIAN TECH,0.370,18.62B,42.000%,841.84M,4.520%,68.08M,0.366%,0.011,N/A,2020/12
Environmental Goods,01330.HK,DYNAGREEN ENV,3.530,2.71B,38.000%,747.28M,27.527%,599.99M,22.101%,0.513,27.397%,2020/12
Environmental Goods,01452.HK,DENOX ENV,0.250,77.21M,12.000%,-24.79M,-32.111%,-25.06M,-32.461%,-0.048,46.671%,2020/12
Industrial Goods,00822.HK,KA SHUI INT'L,0.690,1.47B,-5.000%,161.40M,10.985%,123.99M,8.439%,0.139,39.819%,2020/12
Industrial Goods,00838.HK,EVA HOLDINGS,0.940,4.01B,6.000%,34.66M,0.865%,-15.37M,-0.383%,-0.009,N/A,2020/12
Industrial Goods,00840.HK,TIANYE WATER,0.250,842.15M,20.000%,-79.00K,-0.009%,774.69K,0.092%,0.002,N/A,2020/12
Industrial Goods,00868.HK,XINYI GLASS,30.850,18.62B,14.000%,6.36B,34.170%,6.42B,34.499%,1.595,42.695%,2020/12
Industrial Goods,00889.HK,DATRONIX HOLD,0.720,230.81M,-18.000%,-4.06M,-1.761%,-6.91M,-2.993%,-0.022,N/A,2020/12
Environmental Goods,01527.HK,TENGY ENV,1.000,723.58M,-10.000%,6.64M,0.918%,5.35M,0.739%,0.036,-87.201%,2020/12
Environmental Goods,01539.HK,SYNERGY GROUP,0.490,126.55M,-48.000%,-116.82M,-92.315%,-109.76M,-86.736%,-0.200,N/A,2020/03
Environmental Goods,01845.HK,WG ENV TECH,0.370,639.83M,6.000%,-8.78M,-1.372%,-13.03M,-2.036%,-0.010,N/A,2020/12
Environmental Goods,02188.HK,TITANS ENERGY,0.420,328.48M,-2.000%,-45.84M,-13.956%,-35.31M,-10.748%,-0.038,33.727%,2020/12
Environmental Goods,02377.HK,BOQI ENV,1.760,1.96B,-4.000%,271.75M,13.851%,247.45M,12.612%,0.250,24.434%,2020/12
Industrial Goods,00894.HK,MAN YUE TECH,1.250,1.60B,23.000%,51.93M,3.247%,24.06M,1.504%,0.051,-23.795%,2020/12
Industrial Goods,00929.HK,IPE GROUP,0.700,793.73M,-2.000%,51.85M,6.532%,27.41M,3.453%,0.026,-32.115%,2020/12
Industrial Goods,01002.HK,V.S. INT'L,0.134,534.56M,-27.000%,-25.63M,-4.795%,-37.38M,-6.992%,-0.016,73.067%,2020/07
Industrial Goods,01108.HK,LUOYANG GLASS,9.820,3.63B,75.000%,550.56M,15.167%,390.18M,10.749%,0.707,555.420%,2020/12
Electronic Component ,00099.HK,WONG'S INT'L,2.450,3.25B,-14.000%,-375.06M,-11.631%,-761.67M,-23.620%,-1.590,N/A,2020/12
Environmental Goods,02727.HK,SH ELECTRIC,2.020,163.63B,14.000%,7.23B,4.416%,4.48B,2.737%,0.298,15.932%,2020/12
