category,stockNo,stockName,lastPrice,change,changePercent,volumn,turnover,PE,PB,earningYield,marketCap
System Applications & IT Consulting,01147.HK,EDENSOFT,0.115,-0.002,-1.709%,650.00K,74.65K,10.96,1.01,0.00%,230.00M
System Applications & IT Consulting,01206.HK,TECHNOVATOR,0.750,-0.010,-1.316%,70.00K,52.54K,3.77,0.17,0.00%,586.64M
System Applications & IT Consulting,01297.HK,SINOSOFT TECH,1.460,-0.020,-1.351%,864.00K,1.27M,2.90,0.70,16.37%,1.78B
System Applications & IT Consulting,01402.HK,I-CONTROL,0.600,-0.020,-3.226%,110.00K,65.20K,46.88,4.14,1.08%,600.30M
Software,01675.HK,ASIAINFO TECH,12.820,-0.380,-2.879%,662.80K,8.49M,12.65,1.77,2.69%,11.80B
Software,01679.HK,RISECOMM GP,0.183,-0.004,-2.139%,122.50K,22.34K,No Profit,1.33,0.00%,180.55M
Software,02939.HK,KINGSOFT-1000,46.200,0.000,0.000%,0.00,0.00,N/A,N/A,0.00%,63.42B
Software,03315.HK,GOLDPAC GROUP,1.760,-0.010,-0.565%,625.00K,1.10M,8.39,0.62,9.66%,1.47B
Software,03738.HK,VOBILE GROUP,33.850,-1.250,-3.561%,3.25M,110.48M,178.94,19.70,0.00%,16.42B
Software,03888.HK,KINGSOFT-200,44.800,-1.750,-3.759%,12.18M,548.18M,5.11,2.09,0.45%,61.50B
Semiconductors,00085.HK,CE HUADA TECH,0.920,-0.050,-5.155%,6.70M,6.29M,No Profit,1.72,0.00%,1.87B
System Applications & IT Consulting,01410.HK,EDVANCE INTL,0.630,-0.030,-4.545%,1.41M,919.30K,18.21,4.53,1.59%,633.12M
System Applications & IT Consulting,01450.HK,CENTURY SAGE,0.260,-0.005,-1.887%,578.00K,161.56K,No Profit,2.81,0.00%,270.72M
System Applications & IT Consulting,01460.HK,ICO GROUP,0.285,+0.005,+1.786%,4.22M,1.20M,23.75,0.42,0.00%,241.60M
System Applications & IT Consulting,01522.HK,BII TRANS TECH,0.445,-0.005,-1.111%,696.00K,307.62K,5.56,0.38,5.62%,933.23M
System Applications & IT Consulting,01665.HK,PENTAMASTER,1.130,-0.020,-1.739%,56.00K,63.60K,12.34,2.63,1.18%,2.71B
System Applications & IT Consulting,01686.HK,SUNEVISION,7.970,+0.020,+0.252%,2.43M,19.22M,41.19,4.31,2.20%,18.63B
Software,08076.HK,SING LEE,0.090,-0.010,-10.000%,140.00K,13.34K,No Profit,1.51,0.00%,118.55M
Software,08106.HK,SHENGHUA LANDE,0.167,0.000,0.000%,0.00,0.00,14.15,0.63,0.00%,43.77M
Software,08131.HK,ABC MULTIACTIVE,0.027,-0.007,-20.588%,710.00K,19.92K,No Profit,N/A,0.00%,8.13M
Software,08148.HK,AURUM PACIFIC,0.023,+0.001,+4.545%,140.00K,3.36K,No Profit,0.26,0.00%,29.27M
Software,08290.HK,AHSAY BACKUP,0.026,0.000,0.000%,0.00,0.00,No Profit,0.71,0.00%,52.00M
Semiconductors,00243.HK,QPL INT'L,0.495,0.000,0.000%,198.21K,98.11K,No Profit,0.23,0.00%,93.07M
Semiconductors,00522.HK,ASM PACIFIC,107.800,+2.600,+2.471%,4.37M,469.86M,27.15,3.36,2.51%,44.28B
Semiconductors,00595.HK,AV CONCEPT HOLD,0.660,-0.010,-1.493%,4.71M,3.06M,2.22,0.42,6.06%,599.72M
Semiconductors,00724.HK,RUIXIN INT'L,0.050,+0.001,+2.041%,122.50K,6.01K,No Profit,N/A,0.00%,42.01M
Semiconductors,00981.HK,SMIC,23.250,-0.650,-2.720%,58.64M,1.36B,27.26,1.55,0.00%,183.69B
System Applications & IT Consulting,01708.HK,SAMPLE TECH,4.990,+0.020,+0.402%,550.00K,2.76M,No Profit,1.75,0.00%,1.15B
System Applications & IT Consulting,01782.HK,VIXTEL TECH,0.510,+0.020,+4.082%,40.00K,19.78K,194.50,1.21,0.00%,259.08M
Software,08353.HK,ANACLE,0.470,-0.005,-1.053%,306.00K,144.90K,122.41,2.88,0.00%,189.36M
Software,08561.HK,FINSOFT FIN,0.265,+0.005,+1.923%,250.00,63.00,N/A,N/A,0.00%,33.41M
Semiconductors,01010.HK,PACRAY INT'L,3.000,-0.090,-2.913%,8.00K,24.36K,No Profit,10.35,0.00%,1.11B
Semiconductors,01347.HK,HUA HONG SEMI,40.650,-2.250,-5.245%,20.98M,849.15M,68.09,2.69,0.00%,52.85B
Semiconductors,01385.HK,SHANGHAI FUDAN,19.900,+0.560,+2.896%,7.39M,145.04M,87.87,6.01,0.00%,5.66B
Semiconductors,01912.HK,CONTEL,0.305,-0.010,-3.175%,2.21M,677.38K,15.56,0.99,0.00%,244.00M
Semiconductors,02166.HK,SMART-CORE,1.450,-0.130,-8.228%,248.00K,365.44K,10.06,1.13,4.14%,708.59M
Semiconductors,02203.HK,BRAINHOLE TECH,0.201,+0.001,+0.500%,230.00K,45.56K,No Profit,0.86,0.00%,160.80M
Semiconductors,02878.HK,SOLOMON SYSTECH,1.100,+0.010,+0.917%,85.44M,90.94M,28.38,5.55,0.73%,2.74B
Semiconductors,08231.HK,PFC DEVICE-NEW,0.770,-0.020,-2.532%,10.00K,7.70K,13.10,0.37,0.00%,93.44M
Semiconductors,08257.HK,GENES TECH,0.244,0.000,0.000%,0.00,0.00,6.39,1.20,4.93%,244.00M
Semiconductors,08555.HK,PFC DEVICE-OLD,0.820,0.000,0.000%,0.00,0.00,N/A,N/A,0.00%,66.34M
Satellite & Aerospace,00232.HK,AVIC INT'L,0.130,-0.001,-0.763%,880.00K,114.24K,No Profit,0.43,0.00%,1.21B
Satellite & Aerospace,01045.HK,APT SATELLITE,2.300,-0.010,-0.433%,1.19M,2.72M,9.24,0.36,9.78%,2.14B
Satellite & Aerospace,02357.HK,AVICHINA,4.960,-0.180,-3.502%,32.18M,161.98M,16.13,1.42,1.20%,30.80B
IT Hardware,00143.HK,GUOAN INTL,0.050,0.000,0.000%,0.00,0.00,No Profit,1.22,0.00%,387.45M
IT Hardware,00259.HK,YEEBO (INT'L H),2.830,+0.080,+2.909%,694.00K,1.95M,14.82,1.35,0.71%,2.83B
IT Hardware,00334.HK,CH DISPLAY OPT,0.560,-0.010,-1.754%,352.00K,192.08K,39.15,1.55,0.00%,1.18B
IT Hardware,00479.HK,CIL HOLDINGS,0.010,0.000,0.000%,0.00,0.00,No Profit,61.67,0.00%,52.02M
IT Hardware,00529.HK,SIS INT'L,1.810,0.000,0.000%,0.00,0.00,No Profit,0.15,0.00%,503.12M
IT Hardware,00553.HK,NANJING PANDA,3.960,-0.199,-4.785%,324.00K,1.28M,39.27,0.87,0.78%,958.32M
IT Hardware,00698.HK,TONGDA GROUP,0.485,+0.010,+2.105%,13.61M,6.53M,8.95,0.48,0.00%,3.14B
IT Hardware,00710.HK,BOE VARITRONIX,5.990,0.000,0.000%,2.73M,16.41M,64.41,1.63,0.84%,4.41B
IT Hardware,00948.HK,ALPHA PRO HLDGS,0.770,-0.080,-9.412%,128.00K,97.00K,No Profit,1.61,0.00%,242.06M
IT Hardware,00992.HK,LENOVO GROUP,8.830,-0.100,-1.120%,54.21M,477.40M,11.91,3.84,3.47%,106.33B
IT Hardware,01050.HK,KARRIE INT'L,1.740,0.000,0.000%,628.00K,1.10M,9.51,2.45,6.61%,3.51B
IT Hardware,01079.HK,PINE TECH,0.108,-0.002,-1.818%,282.00K,28.78K,No Profit,0.64,0.00%,143.28M
IT Hardware,01263.HK,PC PARTNER,4.700,+0.030,+0.642%,2.17M,10.27M,8.39,1.59,4.68%,1.81B
IT Hardware,01305.HK,WAI CHI HOLD,0.580,-0.010,-1.695%,21.00K,11.38K,4.14,0.17,0.00%,125.76M
IT Hardware,01337.HK,RAZER,2.100,-0.010,-0.474%,18.66M,38.92M,270.86,4.13,0.00%,18.62B
IT Hardware,01478.HK,Q TECH,15.360,-0.560,-3.518%,5.46M,84.88M,17.92,3.99,0.33%,18.14B
IT Hardware,01523.HK,PLOVER BAY TECH,1.720,+0.010,+0.585%,296.00K,505.60K,16.56,6.63,6.65%,1.86B
IT Hardware,01985.HK,MICROWARE,1.050,-0.020,-1.869%,74.00K,78.84K,6.56,1.42,14.29%,315.00M
IT Hardware,02028.HK,JOLIMARK,0.270,-0.010,-3.571%,10.00K,2.70K,No Profit,0.64,0.00%,165.48M
IT Hardware,02086.HK,HNA TECH INV,0.620,+0.020,+3.333%,91.00K,56.75K,No Profit,1.96,0.00%,198.13M
IT Hardware,02308.HK,EVOC,1.310,0.000,0.000%,352.00K,461.36K,6.43,0.48,0.00%,403.94M
IT Hardware,02363.HK,TONGDA HONG TAI,0.320,0.000,0.000%,74.00K,23.14K,No Profit,0.42,0.00%,72.61M
IT Hardware,03336.HK,JU TENG INTL,1.630,0.000,0.000%,146.00K,238.76K,10.80,0.30,6.14%,1.96B
IT Hardware,03396.HK,LEGENDHOLDING,12.560,-0.200,-1.567%,1.94M,24.38M,6.35,0.41,3.42%,15.97B
IT Hardware,03638.HK,HUABANG TECH,0.112,+0.002,+1.818%,372.00K,42.66K,No Profit,0.93,0.00%,491.10M
IT Hardware,03991.HK,CHANGHONG JH,0.850,0.000,0.000%,126.00K,107.10K,6.32,0.54,5.88%,1.24B
IT Hardware,06088.HK,FIT HON TENG,2.140,+0.010,+0.469%,11.30M,23.76M,43.13,0.87,0.00%,14.75B
IT Hardware,06133.HK,VITAL INNO,0.242,+0.001,+0.415%,4.00K,968.00,No Profit,0.31,0.00%,205.70M
IT Hardware,06939.HK,MEGAIN,1.890,-0.030,-1.563%,4.35M,8.30M,20.59,N/A,0.70%,980.44M
IT Hardware,08051.HK,CIRCUTECH,6.500,0.000,0.000%,0.00,0.00,16.93,1.05,0.00%,152.32M
"Printing, Publishing & Packaging",00055.HK,NEWAY GROUP,0.500,-0.010,-1.961%,8.00K,3.44K,No Profit,0.15,0.00%,126.82M
E-Commerce & Internet Services,00082.HK,CRAZY SPORTS,0.700,-0.040,-5.405%,34.91M,24.72M,No Profit,3.65,0.00%,3.17B
"Printing, Publishing & Packaging",00377.HK,CHINA HUAJUN GP,4.810,-0.160,-3.219%,220.00,1.06K,No Profit,0.23,0.00%,296.02M
"Printing, Publishing & Packaging",00403.HK,STARLITE HOLD,0.310,-0.010,-3.125%,258.00K,80.37K,No Profit,0.46,0.00%,162.79M
"Printing, Publishing & Packaging",00450.HK,HUNG HING PRINT,1.250,+0.020,+1.626%,2.14M,2.66M,10.33,0.35,10.40%,1.13B
"Printing, Publishing & Packaging",00468.HK,GAPACK,3.280,-0.220,-6.286%,4.29M,14.42M,10.58,1.48,8.23%,4.38B
"Printing, Publishing & Packaging",00906.HK,COFCO PACKAGING,4.610,+0.060,+1.319%,1.70M,7.89M,11.21,0.83,6.96%,5.13B
E-Commerce & Internet Services,00136.HK,HENGTEN NET,6.190,-0.020,-0.322%,17.25M,106.44M,"3,485.50",35.47,0.00%,57.16B
E-Commerce & Internet Services,00302.HK,CMGE,3.790,-0.020,-0.525%,13.94M,52.79M,10.63,1.70,2.45%,10.49B
E-Commerce & Internet Services,00327.HK,PAX GLOBAL,8.960,+0.030,+0.336%,1.65M,14.66M,10.82,1.75,3.01%,9.84B
E-Commerce & Internet Services,00395.HK,SMARTAC INTL,0.016,0.000,0.000%,0.00,0.00,No Profit,0.43,0.00%,90.18M
E-Commerce & Internet Services,00400.HK,COGOBUY,2.890,+0.080,+2.847%,11.91M,34.34M,27.24,0.87,0.00%,4.09B
"Printing, Publishing & Packaging",01008.HK,BRILLIANT CIR,0.400,0.000,0.000%,258.00K,104.67K,66.67,0.23,25.00%,627.15M
"Printing, Publishing & Packaging",01106.HK,MING LAM HLDGS,0.010,0.000,0.000%,0.00,0.00,No Profit,0.11,0.00%,148.88M
"Printing, Publishing & Packaging",01127.HK,LION ROCK GROUP,0.850,+0.010,+1.190%,92.17K,82.62K,6.26,0.57,5.88%,654.50M
"Printing, Publishing & Packaging",01172.HK,MAGNUSCONCORDIA,0.076,+0.002,+2.703%,500.00K,37.38K,152.00,0.49,0.00%,439.22M
"Printing, Publishing & Packaging",01239.HK,TEAMWAY INTL GP,0.250,-0.020,-7.407%,760.00K,192.00K,No Profit,N/A,0.00%,164.67M
E-Commerce & Internet Services,00434.HK,BOYAA,0.540,-0.030,-5.263%,753.00K,412.29K,No Profit,0.16,0.00%,383.87M
E-Commerce & Internet Services,00484.HK,FORGAME,1.680,+0.010,+0.599%,27.80K,46.62K,No Profit,0.31,0.00%,246.50M
E-Commerce & Internet Services,00536.HK,TRADELINK,1.170,-0.010,-0.847%,434.00K,510.68K,12.72,2.42,7.86%,929.72M
E-Commerce & Internet Services,00543.HK,PACIFIC ONLINE,1.740,+0.010,+0.578%,339.42K,590.48K,10.19,1.56,8.91%,1.97B
E-Commerce & Internet Services,00700.HK,TENCENT,574.500,-9.500,-1.627%,24.94M,14.46B,28.62,6.57,0.28%,"5,512.45B"
"Printing, Publishing & Packaging",01332.HK,TOUYUN BIOTECH,1.000,0.000,0.000%,150.00K,148.10K,No Profit,5.68,0.00%,2.80B
"Printing, Publishing & Packaging",01335.HK,SHEEN TAI,0.163,-0.003,-1.807%,90.00K,13.52K,27.17,0.49,6.14%,396.76M
"Printing, Publishing & Packaging",01412.HK,Q P GROUP,1.310,+0.010,+0.769%,12.00K,15.64K,5.33,0.89,10.69%,696.92M
"Printing, Publishing & Packaging",01433.HK,CIRTEK HLDGS,0.048,-0.001,-2.041%,220.00K,11.07K,53.33,0.41,1.56%,96.00M
"Printing, Publishing & Packaging",01439.HK,MOBILE INTERNET,0.072,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,99.18M
E-Commerce & Internet Services,00772.HK,CHINA LIT,84.650,-1.700,-1.969%,1.74M,146.58M,No Profit,4.78,0.00%,86.24B
E-Commerce & Internet Services,00777.HK,NETDRAGON,20.000,-0.700,-3.382%,558.50K,11.26M,9.80,1.38,2.50%,11.13B
E-Commerce & Internet Services,00797.HK,7ROAD,2.510,0.000,0.000%,0.00,0.00,510.47,5.27,0.00%,6.91B
E-Commerce & Internet Services,00799.HK,IGG,9.970,-0.290,-2.827%,5.50M,55.22M,5.79,3.11,10.39%,11.90B
E-Commerce & Internet Services,00802.HK,CHINA E-WALLET,0.120,0.000,0.000%,450.00K,54.10K,No Profit,0.78,0.00%,362.13M
Industrial Goods,00031.HK,CHINA AEROSPACE,0.690,-0.010,-1.429%,1.93M,1.33M,7.17,0.27,2.90%,2.13B
"Printing, Publishing & Packaging",01481.HK,SMART GLOBE,0.330,+0.025,+8.197%,2.94M,916.00K,20.63,2.45,1.52%,330.00M
"Printing, Publishing & Packaging",01540.HK,LEFTFIELD PRINT,0.530,-0.010,-1.852%,363.75K,192.76K,9.52,0.90,5.66%,264.30M
"Printing, Publishing & Packaging",01626.HK,JIA YAO HLDGS,1.410,+0.110,+8.462%,18.00K,25.20K,No Profit,1.91,0.00%,423.00M
"Printing, Publishing & Packaging",01629.HK,CHAMP ALLI INTL,3.200,-0.250,-7.246%,16.00K,50.96K,No Profit,11.02,0.00%,1.60B
"Printing, Publishing & Packaging",01631.HK,REF HOLDINGS,0.610,-0.020,-3.175%,140.00K,85.95K,8.54,0.75,81.97%,156.16M
E-Commerce & Internet Services,01020.HK,CYBERNAUT INT'L,0.140,+0.032,+29.630%,48.09M,6.42M,No Profit,1.48,0.00%,556.56M
E-Commerce & Internet Services,01024.HK,KUAISHOU-W,183.200,-11.600,-5.955%,11.44M,2.12B,No Profit,N/A,0.00%,761.92B
E-Commerce & Internet Services,01039.HK,CHANGYOU ALLI,0.355,-0.025,-6.579%,139.00K,54.32K,No Profit,1.49,0.00%,642.89M
E-Commerce & Internet Services,01094.HK,C P PROCUREMENT,0.191,0.000,0.000%,0.00,0.00,25.81,0.22,0.00%,46.66M
E-Commerce & Internet Services,01119.HK,IDREAMSKY,5.000,+0.030,+0.604%,15.40M,77.28M,No Profit,1.50,0.00%,6.35B
Industrial Goods,00076.HK,ELATE HOLDINGS,0.027,-0.002,-6.897%,28.63M,789.22K,6.97,0.06,0.00%,189.18M
Industrial Goods,00096.HK,YUSEI,1.000,0.000,0.000%,0.00,0.00,10.23,0.73,1.55%,636.55M
Industrial Goods,00148.HK,KINGBOARD HLDG,42.850,-0.250,-0.580%,1.60M,69.40M,10.07,0.85,5.32%,47.51B
Industrial Goods,00187.HK,JINGCHENG MAC,2.020,-0.060,-2.885%,1.08M,2.17M,4.99,1.18,0.00%,202.00M
Industrial Goods,00255.HK,LUNG KEE,3.330,-0.050,-1.479%,174.00K,585.22K,11.62,0.93,11.41%,2.10B
"Printing, Publishing & Packaging",01689.HK,HUAXIHOLDINGS,2.670,-0.020,-0.743%,418.00K,1.12M,19.87,4.05,3.00%,1.87B
"Printing, Publishing & Packaging",01820.HK,PM PACKAGING,6.170,-0.050,-0.804%,14.00K,86.92K,19.91,2.40,5.02%,1.85B
"Printing, Publishing & Packaging",01841.HK,A.PLUS GROUP,0.490,-0.010,-2.000%,40.00K,19.20K,7.10,1.22,25.51%,196.00M
"Printing, Publishing & Packaging",01884.HK,EPRINT GROUP,0.330,-0.010,-2.941%,20.52M,6.88M,9.54,0.74,0.00%,181.50M
"Printing, Publishing & Packaging",01975.HK,SUN HING PRINT,0.640,-0.010,-1.538%,4.00K,2.52K,6.85,0.95,7.03%,307.20M
E-Commerce & Internet Services,01137.HK,HKTV,9.600,-0.150,-1.538%,1.78M,17.00M,48.00,4.17,0.00%,8.80B
E-Commerce & Internet Services,01357.HK,MEITU,1.680,-0.080,-4.545%,12.55M,21.50M,No Profit,1.70,0.00%,7.31B
E-Commerce & Internet Services,01736.HK,PARENTING NET,0.150,+0.005,+3.448%,54.00K,8.20K,No Profit,0.40,0.00%,153.85M
E-Commerce & Internet Services,01745.HK,LVJI TECH,1.050,-0.020,-1.869%,2.38M,2.51M,No Profit,1.13,0.00%,1.54B
E-Commerce & Internet Services,01792.HK,CMON,0.050,0.000,0.000%,0.00,0.00,No Profit,0.66,0.00%,90.30M
Machinery & Equipment,00038.HK,FIRST TRACTOR,4.610,-0.420,-8.350%,20.21M,96.24M,13.61,0.88,1.94%,1.81B
Industrial Goods,00515.HK,CHINASILVER TEC,0.057,0.000,0.000%,3.48M,198.37K,No Profit,2.72,0.00%,158.99M
Industrial Goods,00532.HK,WKK INTL (HOLD),1.590,0.000,0.000%,0.00,0.00,11.46,0.68,3.77%,1.16B
Industrial Goods,00567.HK,DAISHOMICROLINE,0.180,-0.001,-0.552%,0.00,0.00,No Profit,1.53,0.00%,145.20M
Industrial Goods,00580.HK,SUN.KING TECH,2.870,-0.120,-4.013%,5.32M,15.39M,22.03,2.24,1.74%,4.69B
Industrial Goods,00591.HK,C HIGHPRECISION,1.220,0.000,0.000%,0.00,0.00,No Profit,0.64,0.00%,1.27B
"Printing, Publishing & Packaging",03363.HK,ZHENGYE INT'L,0.630,0.000,0.000%,24.00K,15.56K,4.81,0.27,5.68%,315.00M
"Printing, Publishing & Packaging",03626.HK,HSSP INTL,0.630,+0.090,+16.667%,10.00K,6.30K,No Profit,1.56,0.00%,115.92M
"Printing, Publishing & Packaging",06898.HK,CHINA ALUMCAN,0.490,0.000,0.000%,0.00,0.00,20.42,1.27,1.82%,441.87M
"Printing, Publishing & Packaging",08291.HK,WAN CHENG METAL,0.077,-0.005,-6.098%,2.25M,172.08K,No Profit,0.09,0.00%,24.64M
E-Commerce & Internet Services,01849.HK,AM GROUP,0.540,0.000,0.000%,2.35M,1.24M,31.80,2.82,0.00%,432.00M
E-Commerce & Internet Services,01909.HK,FIRE ROCK,3.120,+0.040,+1.299%,5.62M,16.84M,29.29,14.63,0.42%,11.98B
E-Commerce & Internet Services,01961.HK,JIU ZUN DIGITAL,0.520,-0.010,-1.887%,18.00K,9.36K,No Profit,1.11,0.00%,283.92M
E-Commerce & Internet Services,01980.HK,TIANGE,1.060,-0.030,-2.752%,199.00K,213.20K,13.90,0.41,0.00%,1.37B
Machinery & Equipment,00057.HK,CHEN HSONG HOLD,2.780,+0.010,+0.361%,600.00K,1.66M,8.63,0.59,5.76%,1.75B
Machinery & Equipment,00118.HK,COSMOS MACH,0.410,+0.005,+1.235%,26.00K,10.54K,18.06,0.28,0.00%,353.39M
Machinery & Equipment,00365.HK,SINO ICT,1.100,0.000,0.000%,0.00,0.00,81.48,5.18,0.00%,1.60B
Machinery & Equipment,00387.HK,LEEPORT(HOLD),0.960,-0.005,-0.518%,4.00K,3.84K,49.74,0.47,6.25%,220.87M
Machinery & Equipment,00558.HK,LK TECH,15.180,-1.000,-6.180%,6.00M,92.01M,52.71,7.35,0.40%,18.99B
Industrial Goods,00641.HK,CHTC FONG'S INT,0.480,0.000,0.000%,100.00K,48.00K,84.21,0.30,0.00%,528.10M
Industrial Goods,00675.HK,K & P INT'L,0.830,-0.050,-5.682%,122.00K,102.68K,3.31,0.63,12.05%,221.61M
Industrial Goods,00679.HK,ASIA TELE-NET,1.230,+0.020,+1.653%,41.50K,47.87K,3.73,0.25,2.44%,524.55M
Industrial Goods,00725.HK,PERENNIAL INT'L,0.800,+0.010,+1.266%,40.00K,32.00K,No Profit,0.29,0.00%,159.17M
Industrial Goods,00822.HK,KA SHUI INT'L,0.690,+0.040,+6.154%,1.66M,1.12M,4.98,0.53,5.80%,616.70M
Machinery & Equipment,00564.HK,ZMJ,10.000,+0.110,+1.112%,8.60M,84.77M,11.73,1.11,2.56%,2.43B
Machinery & Equipment,00631.HK,SANY INT'L,7.960,+0.090,+1.144%,6.95M,54.87M,19.64,2.66,1.88%,25.03B
Machinery & Equipment,00936.HK,EAGLE LEGEND,0.920,-0.030,-3.158%,240.00K,218.10K,No Profit,7.69,0.00%,975.20M
Machinery & Equipment,01157.HK,ZOOMLION,7.790,-0.340,-4.182%,13.09M,103.13M,6.69,1.11,8.11%,12.32B
Machinery & Equipment,01289.HK,SUNLIT SCI,1.120,0.000,0.000%,0.00,0.00,46.98,0.19,5.32%,35.84M
Industrial Goods,00838.HK,EVA HOLDINGS,0.940,+0.080,+9.302%,43.11M,38.91M,No Profit,0.62,0.00%,1.61B
Industrial Goods,00840.HK,TIANYE WATER,0.250,-0.025,-9.091%,1.01M,253.01K,161.35,0.19,0.00%,50.60M
Industrial Goods,00868.HK,XINYI GLASS,30.850,-0.800,-2.528%,10.56M,326.51M,19.34,4.47,2.56%,125.02B
Industrial Goods,00889.HK,DATRONIX HOLD,0.720,0.000,0.000%,0.00,0.00,No Profit,0.27,2.78%,230.40M
Industrial Goods,00894.HK,MAN YUE TECH,1.250,+0.040,+3.306%,6.01M,7.29M,24.70,0.40,0.00%,594.43M
Machinery & Equipment,01301.HK,D&G TECH,1.360,-0.010,-0.730%,302.00K,413.08K,No Profit,1.10,0.00%,869.59M
Machinery & Equipment,01341.HK,HAO TIAN INTL,0.520,+0.030,+6.122%,30.08M,15.17M,27.66,2.01,0.00%,3.92B
Machinery & Equipment,01496.HK,AP RENTALS,0.161,0.000,0.000%,0.00,0.00,No Profit,0.64,0.00%,139.10M
Machinery & Equipment,01536.HK,YUK WING GP,0.250,0.000,0.000%,0.00,0.00,No Profit,0.64,0.00%,95.00M
Machinery & Equipment,01645.HK,HAINA INTEL,1.180,-0.030,-2.479%,2.90M,3.41M,10.37,1.71,4.24%,554.60M
Industrial Goods,00929.HK,IPE GROUP,0.700,+0.010,+1.449%,310.00K,216.95K,26.92,0.39,0.00%,736.58M
Industrial Goods,01002.HK,V.S. INT'L,0.134,-0.009,-6.294%,39.09K,5.30K,No Profit,0.78,0.00%,309.21M
Industrial Goods,01108.HK,LUOYANG GLASS,9.820,-0.420,-4.102%,7.00M,69.33M,13.89,2.78,0.00%,2.46B
Industrial Goods,01166.HK,SOLARTECH INT'L,0.069,-0.007,-9.211%,20.00K,1.34K,No Profit,0.16,0.00%,163.84M
Industrial Goods,01286.HK,IMPRO PRECISION,2.400,-0.030,-1.235%,245.00K,577.82K,No Profit,1.13,1.75%,4.52B
Machinery & Equipment,01651.HK,TSUGAMI CHINA,11.060,-0.200,-1.776%,52.00K,578.73K,9.07,2.02,3.62%,4.21B
Machinery & Equipment,01660.HK,ZHAOBANGJI PPT,0.600,-0.020,-3.226%,2.92M,1.78M,42.25,8.41,0.00%,3.72B
Machinery & Equipment,01673.HK,HUAZHANG TECH,1.350,-0.040,-2.878%,12.00K,16.30K,No Profit,1.58,0.00%,1.20B
Machinery & Equipment,01786.HK,CRCCE,0.890,0.000,0.000%,618.00K,547.76K,74.67,0.21,0.00%,473.39M
Machinery & Equipment,01882.HK,HAITIAN INT'L,25.400,-0.650,-2.495%,502.06K,12.82M,14.21,2.30,6.46%,40.54B
Electronic Component ,00099.HK,WONG'S INT'L,2.450,0.000,0.000%,0.00,0.00,No Profit,0.27,1.63%,1.17B
Industrial Goods,01366.HK,JIANGNAN GP,0.395,+0.005,+1.282%,98.00K,38.25K,11.88,0.32,0.00%,2.42B
Industrial Goods,01480.HK,YAN TAT GROUP,1.790,-0.010,-0.556%,4.00K,7.16K,11.12,0.71,3.35%,429.60M
Industrial Goods,01596.HK,YICHEN IND,3.760,-0.090,-2.338%,1.91M,7.08M,11.27,1.35,0.54%,843.97M
Industrial Goods,01611.HK,HUOBI TECH,13.780,-0.200,-1.431%,852.50K,11.72M,No Profit,32.64,0.00%,4.24B
Machinery & Equipment,02039.HK,CIMC,17.600,+0.440,+2.564%,4.93M,86.61M,10.47,1.34,1.90%,36.25B
Machinery & Equipment,02102.HK,TAK LEE MACH,0.275,-0.010,-3.509%,220.00K,62.10K,5.36,0.68,9.09%,275.00M
Machinery & Equipment,02153.HK,TAT HONG EQUIP,1.490,-0.050,-3.247%,1.15M,1.72M,11.44,0.95,0.24%,1.74B
Machinery & Equipment,02155.HK,MORIMATSU INTL,10.140,+2.070,+25.651%,29.34M,297.87M,N/A,N/A,0.00%,10.14B
Machinery & Equipment,02398.HK,GOOD FRIEND,0.960,-0.020,-2.041%,0.00,0.00,No Profit,0.73,0.00%,386.95M
Electronic Component ,00117.HK,TIANLI HOLDINGS,0.610,0.000,0.000%,6.00K,3.68K,No Profit,0.44,0.00%,454.30M
Electronic Component ,00732.HK,TRULY INT'L,2.080,-0.110,-5.023%,13.45M,28.32M,13.62,0.73,0.00%,6.84B
Electronic Component ,00854.HK,WILLAS-ARRAY,4.070,-0.030,-0.732%,69.00K,280.83K,3.75,0.51,8.11%,346.79M
Electronic Component ,01184.HK,S.A.S. DRAGON,3.280,+0.030,+0.923%,88.00K,270.52K,7.84,1.11,6.40%,2.05B
Electronic Component ,01213.HK,MOBICON GROUP,0.455,0.000,0.000%,0.00,0.00,7.48,0.73,2.20%,91.00M
Electronic Component ,01401.HK,SPROCOMM INTEL,0.760,-0.010,-1.299%,120.00K,91.00K,20.64,1.91,0.00%,760.00M
Environmental Goods,00154.HK,BE ENVIRONMENT,0.540,-0.010,-1.818%,70.00K,37.79K,6.28,0.25,0.00%,810.19M
Machinery & Equipment,03339.HK,LONKING,2.450,-0.060,-2.390%,4.63M,11.39M,4.47,0.87,13.47%,10.49B
Machinery & Equipment,03348.HK,CHINA PENGFEI,1.020,-0.010,-0.971%,10.00K,10.20K,3.24,0.66,9.35%,510.00M
Machinery & Equipment,03628.HK,RENHENG ENT,0.140,0.000,0.000%,0.00,0.00,No Profit,0.94,0.00%,112.56M
Machinery & Equipment,03899.HK,CIMC ENRIC,7.980,-0.100,-1.238%,4.93M,39.21M,22.85,1.85,1.75%,16.11B
Electronic Component ,01415.HK,COWELL,4.990,-0.100,-1.965%,1.40M,6.95M,12.62,2.15,18.68%,4.16B
Electronic Component ,01725.HK,HK AERO TECH,29.200,+2.200,+8.148%,1.05M,30.90M,424.59,29.36,0.00%,8.76B
