category,stockNo,stockName,lastPrice,currentRatio,quickRatio,ROA,ROE,grossProfitMargin,netProgitMargin,payout,debtEquityRatio,yrEnd
Chemical Products,02341.HK,ECOGREEN,2.360,2.54,2.35,7.53%,15.39%,22.73%,16.27%,11.94%,84.60%,2020/12
Chemical Products,08139.HK,CHANGAN RH,2.040,1.17,0.77,0.51%,1.11%,41.56%,1.04%,N/A,82.52%,2020/12
Chemical Products,08258.HK,NW INDUSTRY,0.070,9.16,8.75,5.54%,6.09%,32.06%,26.19%,N/A,N/A,2019/12
Chemical Products,09933.HK,GHW INTL,0.181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chemical Products,09936.HK,XIMEI RESOURCES,4.930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
System Applications & IT Consulting,00046.HK,COMPUTER & TECH,2.720,2.94,2.94,9.01%,11.72%,56.50%,23.46%,69.93%,1.37%,2020/12
System Applications & IT Consulting,00092.HK,CHAMPION TECH,0.097,2.33,2.10,-8.61%,-228.38%,22.55%,-9.62%,N/A,"1,489.57%",2020/06
System Applications & IT Consulting,00250.HK,SINO-I TECH,0.049,2.91,2.91,4.87%,7.13%,84.16%,11.42%,N/A,5.49%,2020/12
System Applications & IT Consulting,00354.HK,CHINASOFT INT'L,13.040,3.82,3.80,7.63%,11.41%,29.21%,7.08%,6.43%,23.90%,2020/12
System Applications & IT Consulting,00465.HK,FUTONG TECH,0.720,3.28,3.18,0.39%,0.55%,13.92%,0.48%,N/A,0.80%,2020/12
System Applications & IT Consulting,00633.HK,CH ALL ACCESS,0.104,1.01,0.86,-3.99%,-89.18%,2.41%,-4.27%,N/A,368.46%,2020/12
Software,00268.HK,KINGDEE INT'L,25.550,2.38,2.37,-3.13%,-4.31%,65.81%,-10.00%,N/A,2.20%,2020/12
System Applications & IT Consulting,00696.HK,TRAVELSKY TECH,16.280,3.55,3.53,1.59%,1.98%,43.74%,6.61%,13.33%,0.15%,2020/12
System Applications & IT Consulting,00771.HK,AUTOMATED SYS,1.480,1.32,1.07,26.36%,39.03%,53.52%,43.05%,2.90%,6.95%,2020/12
System Applications & IT Consulting,00818.HK,HI SUN TECH,1.300,2.52,2.47,6.76%,11.85%,26.68%,15.85%,N/A,15.96%,2020/12
System Applications & IT Consulting,00856.HK,VSTECS,6.670,1.22,0.97,3.63%,15.64%,4.47%,1.53%,29.12%,102.73%,2020/12
System Applications & IT Consulting,00861.HK,DC HOLDINGS,5.070,1.40,1.10,2.19%,6.50%,16.95%,3.09%,36.04%,54.07%,2020/12
Software,00418.HK,FOUNDER HOLD,0.670,2.21,2.02,3.56%,5.15%,47.39%,5.75%,N/A,0.21%,2020/12
Software,00596.HK,INSPUR INT'L,1.970,1.19,1.19,-3.78%,-8.00%,29.33%,-6.14%,N/A,1.07%,2020/12
Software,00885.HK,RENTIAN TECH,0.010,0.47,0.37,-104.21%,230.74%,-275.43%,-878.41%,N/A,-245.77%,2019/12
Software,01022.HK,FEIYU,0.930,2.41,2.41,-3.38%,-4.31%,70.44%,-18.34%,N/A,14.07%,2020/12
Software,01588.HK,CHANJET,20.500,5.13,5.13,2.07%,2.64%,83.62%,6.55%,51.61%,0.47%,2020/12
System Applications & IT Consulting,00862.HK,VISION VALUES,0.200,1.39,0.41,-22.49%,-29.69%,100.00%,-166.93%,N/A,13.12%,2020/06
System Applications & IT Consulting,00909.HK,MING YUAN CLOUD,37.350,8.55,8.55,-9.43%,-10.77%,78.56%,-41.31%,-14.58%,0.94%,2020/12
System Applications & IT Consulting,01013.HK,WAI CHUN GROUP,0.082,1.00,0.99,-11.43%,16.76%,2.09%,-11.22%,N/A,-113.02%,2021/03
System Applications & IT Consulting,01037.HK,MAXNERVA TECH,0.435,2.75,2.61,2.73%,4.12%,18.01%,2.80%,N/A,8.28%,2020/12
System Applications & IT Consulting,01059.HK,KANTONE HOLDING,0.410,1.91,1.66,2.08%,7.34%,56.57%,2.64%,N/A,7.71%,2020/06
Software,01675.HK,ASIAINFO TECH,12.820,1.95,1.95,7.46%,11.92%,38.26%,11.00%,34.05%,5.42%,2020/12
Software,01679.HK,RISECOMM GP,0.183,0.79,0.73,-24.31%,-110.23%,15.76%,-59.24%,N/A,117.02%,2020/12
Software,02939.HK,KINGSOFT-1000,46.200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Software,03315.HK,GOLDPAC GROUP,1.760,3.70,3.35,5.65%,7.30%,29.94%,11.36%,81.04%,0.83%,2020/12
Software,03738.HK,VOBILE GROUP,33.850,3.90,3.90,7.04%,10.30%,48.66%,23.88%,N/A,33.08%,2020/12
System Applications & IT Consulting,01075.HK,CAPINFO,0.395,1.60,1.38,5.09%,10.79%,35.01%,9.04%,45.00%,3.15%,2020/12
System Applications & IT Consulting,01087.HK,INVESTECH HLDGS,0.080,1.31,1.26,-11.53%,-22.38%,11.21%,-17.65%,N/A,12.98%,2020/12
System Applications & IT Consulting,01147.HK,EDENSOFT,0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
System Applications & IT Consulting,01206.HK,TECHNOVATOR,0.750,1.89,1.36,2.68%,4.54%,20.88%,7.52%,N/A,7.57%,2020/12
System Applications & IT Consulting,01297.HK,SINOSOFT TECH,1.460,6.27,6.27,20.03%,24.00%,100.00%,96.65%,47.50%,3.72%,2020/12
Software,03888.HK,KINGSOFT-200,44.800,6.08,6.08,28.66%,40.73%,83.60%,179.56%,2.28%,9.81%,2020/12
Software,08076.HK,SING LEE,0.090,3.35,3.34,-20.64%,-47.46%,7.90%,-36.48%,N/A,97.71%,2020/12
Software,08106.HK,SHENGHUA LANDE,0.167,4.37,4.08,3.52%,4.47%,17.03%,2.11%,N/A,2.70%,2020/12
Software,08131.HK,ABC MULTIACTIVE,0.027,1.04,1.04,-24.64%,11.85%,55.24%,-17.97%,N/A,-118.98%,2020/11
Software,08148.HK,AURUM PACIFIC,0.023,2.24,2.24,-44.89%,-62.44%,62.77%,-227.92%,N/A,32.79%,2020/12
System Applications & IT Consulting,01402.HK,I-CONTROL,0.600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
System Applications & IT Consulting,01410.HK,EDVANCE INTL,0.630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
System Applications & IT Consulting,01450.HK,CENTURY SAGE,0.260,1.03,0.80,-19.56%,-120.58%,36.43%,-63.62%,N/A,220.84%,2020/12
System Applications & IT Consulting,01460.HK,ICO GROUP,0.285,1.99,1.98,1.15%,1.67%,17.30%,1.27%,N/A,4.64%,2021/03
System Applications & IT Consulting,01522.HK,BII TRANS TECH,0.445,1.71,1.46,3.92%,6.87%,39.69%,10.87%,31.25%,24.21%,2020/12
Software,08290.HK,AHSAY BACKUP,0.026,3.17,3.17,-3.68%,-4.98%,99.51%,-6.68%,N/A,6.59%,2020/12
Software,08353.HK,ANACLE,0.470,3.62,3.32,1.70%,2.25%,40.11%,1.41%,N/A,2.25%,2020/05
Software,08561.HK,FINSOFT FIN,0.265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
System Applications & IT Consulting,01665.HK,PENTAMASTER,1.130,4.05,3.77,17.28%,21.35%,33.54%,27.22%,14.61%,0.56%,2020/12
System Applications & IT Consulting,01686.HK,SUNEVISION,7.970,0.52,0.52,5.16%,18.17%,57.87%,45.70%,90.44%,211.54%,2020/06
System Applications & IT Consulting,01708.HK,SAMPLE TECH,4.990,1.60,1.52,-3.33%,-7.36%,18.65%,-14.73%,N/A,49.74%,2020/12
System Applications & IT Consulting,01782.HK,VIXTEL TECH,0.510,5.35,5.32,0.50%,0.61%,53.82%,1.36%,N/A,6.91%,2020/12
Semiconductors,00085.HK,CE HUADA TECH,0.920,1.66,1.30,-39.55%,-93.08%,34.01%,-76.50%,N/A,71.60%,2020/12
Semiconductors,00243.HK,QPL INT'L,0.495,3.85,3.33,-13.09%,-17.02%,100.00%,-24.82%,N/A,9.40%,2020/04
Semiconductors,00522.HK,ASM PACIFIC,107.800,2.77,1.69,7.00%,12.31%,32.46%,9.60%,68.01%,34.70%,2020/12
Semiconductors,00595.HK,AV CONCEPT HOLD,0.660,1.76,1.53,17.00%,19.07%,4.43%,21.74%,10.10%,0.12%,2021/03
Semiconductors,00724.HK,RUIXIN INT'L,0.050,1.63,1.24,-25.56%,115.41%,6.11%,-15.73%,N/A,-292.81%,2020/12
Semiconductors,00981.HK,SMIC,23.250,3.90,3.69,2.26%,4.76%,23.57%,18.11%,N/A,42.85%,2020/12
Satellite & Aerospace,00232.HK,AVIC INT'L,0.130,2.54,1.81,-18.11%,-26.59%,14.61%,-60.69%,N/A,19.95%,2020/12
Semiconductors,01010.HK,PACRAY INT'L,3.000,1.56,1.48,-3.49%,-5.12%,25.87%,-5.93%,N/A,5.30%,2020/12
Semiconductors,01347.HK,HUA HONG SEMI,40.650,2.11,1.77,2.18%,3.93%,24.43%,10.34%,N/A,23.25%,2020/12
Semiconductors,01385.HK,SHANGHAI FUDAN,19.900,3.91,2.63,4.97%,6.89%,44.93%,7.99%,N/A,2.63%,2020/12
Semiconductors,01912.HK,CONTEL,0.305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Semiconductors,02166.HK,SMART-CORE,1.450,1.36,1.08,3.23%,11.26%,5.60%,1.28%,41.61%,119.65%,2020/12
Satellite & Aerospace,01045.HK,APT SATELLITE,2.300,5.16,5.16,3.22%,3.90%,44.29%,26.03%,90.43%,3.27%,2020/12
Satellite & Aerospace,02357.HK,AVICHINA,4.960,1.47,0.98,1.72%,8.84%,20.88%,3.98%,19.38%,55.01%,2020/12
Semiconductors,02203.HK,BRAINHOLE TECH,0.201,2.07,1.81,-15.87%,-31.48%,12.80%,-22.44%,N/A,60.61%,2020/12
Semiconductors,02878.HK,SOLOMON SYSTECH,1.100,2.83,2.29,12.43%,18.47%,29.56%,9.66%,20.64%,1.68%,2020/12
Semiconductors,08231.HK,PFC DEVICE-NEW,0.770,5.31,3.92,2.39%,2.79%,23.24%,3.06%,N/A,1.05%,2020/12
Semiconductors,08257.HK,GENES TECH,0.244,1.42,0.34,5.86%,18.73%,26.70%,9.63%,31.46%,98.24%,2020/12
Semiconductors,08555.HK,PFC DEVICE-OLD,0.820,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",00055.HK,NEWAY GROUP,0.500,2.60,1.94,-7.74%,-10.46%,24.98%,-16.37%,N/A,16.01%,2020/12
IT Hardware,00143.HK,GUOAN INTL,0.050,0.78,0.75,-4.41%,-14.32%,22.50%,-21.86%,N/A,142.26%,2019/12
E-Commerce & Internet Services,00082.HK,CRAZY SPORTS,0.700,1.05,1.05,-11.11%,-15.26%,43.45%,-43.85%,N/A,3.63%,2020/12
"Printing, Publishing & Packaging",00377.HK,CHINA HUAJUN GP,4.810,0.66,0.12,-9.26%,-142.53%,1.16%,-44.77%,N/A,"1,007.35%",2020/12
"Printing, Publishing & Packaging",00403.HK,STARLITE HOLD,0.310,1.17,0.96,-9.66%,-27.89%,15.99%,-9.32%,N/A,110.31%,2021/03
"Printing, Publishing & Packaging",00450.HK,HUNG HING PRINT,1.250,4.61,3.81,2.64%,3.38%,16.57%,4.28%,107.44%,4.03%,2020/12
"Printing, Publishing & Packaging",00468.HK,GAPACK,3.280,2.06,1.36,9.46%,13.76%,26.51%,11.28%,87.13%,8.55%,2020/12
"Printing, Publishing & Packaging",00906.HK,COFCO PACKAGING,4.610,1.37,1.08,3.30%,7.46%,15.84%,5.30%,80.58%,83.27%,2020/12
IT Hardware,00259.HK,YEEBO (INT'L H),2.830,2.03,1.36,7.41%,8.93%,12.24%,21.05%,10.47%,0.70%,2021/03
IT Hardware,00334.HK,CH DISPLAY OPT,0.560,0.93,0.67,0.81%,3.93%,5.05%,0.58%,N/A,37.69%,2020/12
IT Hardware,00479.HK,CIL HOLDINGS,0.010,1.09,1.09,-34.53%,"-7,966.57%",2.40%,-41.45%,N/A,"12,422.05%",2019/06
IT Hardware,00529.HK,SIS INT'L,1.810,0.88,0.71,-3.40%,-9.37%,8.32%,-4.09%,N/A,122.84%,2020/12
IT Hardware,00553.HK,NANJING PANDA,3.960,1.90,1.55,1.29%,2.20%,15.32%,1.96%,30.73%,0.23%,2020/12
E-Commerce & Internet Services,00136.HK,HENGTEN NET,6.190,15.77,15.66,0.94%,1.02%,47.90%,5.22%,N/A,1.41%,2020/12
E-Commerce & Internet Services,00302.HK,CMGE,3.790,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E-Commerce & Internet Services,00327.HK,PAX GLOBAL,8.960,3.56,2.72,11.79%,16.07%,41.36%,15.93%,32.61%,2.19%,2020/12
E-Commerce & Internet Services,00395.HK,SMARTAC INTL,0.016,4.33,3.77,-19.34%,-27.74%,11.53%,-25.78%,N/A,8.09%,2020/12
E-Commerce & Internet Services,00400.HK,COGOBUY,2.890,3.59,2.98,2.24%,3.13%,11.30%,1.99%,N/A,4.80%,2020/12
"Printing, Publishing & Packaging",01008.HK,BRILLIANT CIR,0.400,1.52,1.37,0.25%,0.32%,19.84%,0.67%,"1,666.67%",15.02%,2020/12
"Printing, Publishing & Packaging",01106.HK,MING LAM HLDGS,0.010,1.45,1.41,-12.97%,-25.40%,23.25%,-26.68%,N/A,30.60%,2018/12
"Printing, Publishing & Packaging",01127.HK,LION ROCK GROUP,0.850,2.23,1.87,5.59%,9.08%,24.61%,7.60%,36.79%,25.28%,2020/12
"Printing, Publishing & Packaging",01172.HK,MAGNUSCONCORDIA,0.076,1.39,0.30,0.10%,0.33%,5.49%,0.14%,N/A,24.92%,2021/03
"Printing, Publishing & Packaging",01239.HK,TEAMWAY INTL GP,0.250,1.38,1.29,-8.95%,96.22%,17.79%,-10.59%,N/A,-978.27%,2020/12
IT Hardware,00698.HK,TONGDA GROUP,0.485,1.23,0.88,2.46%,5.31%,17.53%,3.60%,N/A,53.98%,2020/12
IT Hardware,00710.HK,BOE VARITRONIX,5.990,3.19,2.70,1.79%,2.53%,100.00%,1.52%,53.76%,0.72%,2020/12
IT Hardware,00948.HK,ALPHA PRO HLDGS,0.770,2.16,1.56,-6.26%,-9.96%,2.32%,-5.59%,N/A,1.51%,2021/03
IT Hardware,00992.HK,LENOVO GROUP,8.830,0.85,0.62,2.99%,31.91%,16.08%,1.87%,41.25%,112.33%,2021/03
IT Hardware,01050.HK,KARRIE INT'L,1.740,1.73,0.82,10.00%,25.53%,22.37%,11.44%,N/A,64.39%,2021/03
Machinery & Equipment,00038.HK,FIRST TRACTOR,4.610,1.08,0.89,2.27%,6.46%,5.13%,3.69%,26.39%,61.35%,2020/12
E-Commerce & Internet Services,00434.HK,BOYAA,0.540,4.21,4.21,-1.93%,-2.20%,68.92%,-12.83%,N/A,0.23%,2020/12
E-Commerce & Internet Services,00484.HK,FORGAME,1.680,9.54,9.40,-7.27%,-8.04%,32.83%,-81.52%,N/A,0.58%,2020/12
E-Commerce & Internet Services,00536.HK,TRADELINK,1.170,2.43,2.43,12.42%,18.94%,100.00%,27.87%,100.00%,N/A,2020/12
E-Commerce & Internet Services,00543.HK,PACIFIC ONLINE,1.740,2.51,2.51,10.69%,15.27%,57.93%,16.73%,90.72%,0.04%,2020/12
E-Commerce & Internet Services,00700.HK,TENCENT,574.500,1.18,1.18,11.99%,22.71%,45.95%,33.16%,7.97%,37.28%,2020/12
"Printing, Publishing & Packaging",01332.HK,TOUYUN BIOTECH,1.000,1.15,1.07,-17.36%,-34.58%,44.16%,-77.14%,N/A,45.67%,2020/12
"Printing, Publishing & Packaging",01335.HK,SHEEN TAI,0.163,16.18,15.94,1.72%,1.85%,54.53%,18.93%,166.67%,1.96%,2020/12
"Printing, Publishing & Packaging",01412.HK,Q P GROUP,1.310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",01433.HK,CIRTEK HLDGS,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",01439.HK,MOBILE INTERNET,0.072,0.35,0.26,-59.14%,134.50%,17.50%,-111.34%,N/A,-175.93%,2020/12
IT Hardware,01079.HK,PINE TECH,0.108,4.00,3.94,-40.57%,-60.07%,-1.16%,-15.83%,N/A,3.61%,2020/06
IT Hardware,01263.HK,PC PARTNER,4.700,1.19,0.87,5.20%,18.79%,10.25%,2.67%,39.29%,109.87%,2020/12
IT Hardware,01305.HK,WAI CHI HOLD,0.580,1.19,1.01,1.52%,4.13%,14.21%,2.22%,N/A,49.72%,2020/12
IT Hardware,01337.HK,RAZER,2.100,1.68,1.48,0.45%,0.97%,22.31%,0.46%,N/A,1.85%,2020/12
IT Hardware,01478.HK,Q TECH,15.360,1.08,0.82,7.37%,22.19%,10.18%,4.83%,5.83%,34.55%,2020/12
Machinery & Equipment,00057.HK,CHEN HSONG HOLD,2.780,2.61,2.03,4.64%,6.78%,26.82%,8.60%,49.69%,2.36%,2021/03
Machinery & Equipment,00118.HK,COSMOS MACH,0.410,1.62,1.25,0.69%,1.54%,16.78%,0.81%,N/A,29.81%,2020/12
Machinery & Equipment,00365.HK,SINO ICT,1.100,1.02,0.91,2.61%,6.35%,49.71%,7.26%,N/A,36.45%,2020/12
Machinery & Equipment,00387.HK,LEEPORT(HOLD),0.960,1.23,1.00,0.53%,0.95%,15.04%,0.72%,310.88%,35.42%,2020/12
Machinery & Equipment,00558.HK,LK TECH,15.180,1.21,0.80,6.27%,13.96%,27.74%,8.55%,20.83%,48.61%,2021/03
E-Commerce & Internet Services,00772.HK,CHINA LIT,84.650,2.73,2.59,-21.04%,-29.71%,49.66%,-52.59%,N/A,8.82%,2020/12
E-Commerce & Internet Services,00777.HK,NETDRAGON,20.000,3.12,2.70,9.54%,14.01%,67.96%,15.54%,24.50%,22.19%,2020/12
E-Commerce & Internet Services,00797.HK,7ROAD,2.510,1.83,1.83,0.56%,0.97%,87.93%,3.24%,N/A,5.14%,2019/12
E-Commerce & Internet Services,00799.HK,IGG,9.970,2.80,2.80,42.92%,54.30%,69.83%,38.38%,60.11%,2.31%,2020/12
E-Commerce & Internet Services,00802.HK,CHINA E-WALLET,0.120,17.37,17.37,-9.21%,-9.89%,23.35%,-69.29%,N/A,N/A,2020/12
"Printing, Publishing & Packaging",01481.HK,SMART GLOBE,0.330,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",01540.HK,LEFTFIELD PRINT,0.530,4.53,3.85,7.11%,9.51%,14.71%,8.50%,53.86%,11.58%,2020/12
"Printing, Publishing & Packaging",01626.HK,JIA YAO HLDGS,1.410,1.15,0.76,-4.38%,-14.08%,12.79%,-4.55%,N/A,59.54%,2020/12
"Printing, Publishing & Packaging",01629.HK,CHAMP ALLI INTL,3.200,1.23,0.98,-0.12%,-0.43%,15.02%,-0.09%,N/A,50.71%,2020/12
"Printing, Publishing & Packaging",01631.HK,REF HOLDINGS,0.610,4.69,4.69,7.01%,8.80%,47.09%,12.38%,700.28%,5.04%,2020/12
IT Hardware,01523.HK,PLOVER BAY TECH,1.720,2.63,2.03,23.99%,39.71%,58.31%,26.94%,110.02%,12.55%,2020/12
IT Hardware,01985.HK,MICROWARE,1.050,1.79,1.59,9.67%,21.34%,12.75%,4.25%,93.75%,3.28%,2021/03
IT Hardware,02028.HK,JOLIMARK,0.270,1.33,0.77,-6.30%,-11.57%,30.76%,-9.10%,N/A,40.21%,2020/12
IT Hardware,02086.HK,HNA TECH INV,0.620,6.14,4.76,-16.65%,-19.96%,48.97%,-17.94%,N/A,9.53%,2020/12
IT Hardware,02308.HK,EVOC,1.310,1.58,0.93,2.57%,7.52%,36.79%,13.63%,N/A,119.74%,2020/12
Machinery & Equipment,00564.HK,ZMJ,10.000,1.69,1.39,3.60%,9.49%,25.06%,4.67%,30.06%,52.24%,2020/12
Machinery & Equipment,00631.HK,SANY INT'L,7.960,1.51,1.17,5.98%,13.33%,26.63%,14.19%,37.01%,40.03%,2020/12
Machinery & Equipment,00936.HK,EAGLE LEGEND,0.920,0.84,0.42,-27.16%,-104.02%,46.74%,-92.20%,N/A,182.46%,2020/12
Machinery & Equipment,01157.HK,ZOOMLION,7.790,1.43,1.11,6.28%,15.62%,28.59%,11.21%,32.74%,42.20%,2020/12
Machinery & Equipment,01289.HK,SUNLIT SCI,1.120,5.22,3.79,0.32%,0.38%,24.88%,1.99%,250.00%,N/A,2020/12
E-Commerce & Internet Services,01020.HK,CYBERNAUT INT'L,0.140,4.91,4.75,-10.34%,-24.07%,23.30%,-26.73%,N/A,107.81%,2020/12
E-Commerce & Internet Services,01024.HK,KUAISHOU-W,183.200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E-Commerce & Internet Services,01039.HK,CHANGYOU ALLI,0.355,1.97,1.96,-0.57%,-0.46%,0.39%,-0.61%,N/A,26.03%,2020/12
E-Commerce & Internet Services,01094.HK,C P PROCUREMENT,0.191,0.47,0.47,0.46%,0.77%,19.90%,1.76%,N/A,16.20%,2020/12
E-Commerce & Internet Services,01119.HK,IDREAMSKY,5.000,1.53,1.53,-6.54%,-12.81%,41.59%,-13.75%,N/A,62.49%,2020/12
"Printing, Publishing & Packaging",01689.HK,HUAXIHOLDINGS,2.670,3.20,3.03,14.58%,20.37%,41.00%,25.25%,59.52%,0.46%,2020/12
"Printing, Publishing & Packaging",01820.HK,PM PACKAGING,6.170,1.27,1.03,5.27%,12.10%,18.65%,3.84%,100.03%,72.37%,2020/12
"Printing, Publishing & Packaging",01841.HK,A.PLUS GROUP,0.490,4.27,4.27,13.28%,17.14%,49.41%,20.53%,181.16%,6.62%,2021/03
"Printing, Publishing & Packaging",01884.HK,EPRINT GROUP,0.330,2.19,2.10,5.74%,7.79%,38.69%,7.12%,N/A,16.17%,2021/03
"Printing, Publishing & Packaging",01975.HK,SUN HING PRINT,0.640,3.74,3.44,10.92%,13.88%,36.78%,14.38%,48.18%,5.97%,2020/06
IT Hardware,02363.HK,TONGDA HONG TAI,0.320,1.25,0.64,-27.01%,-114.75%,-3.70%,-34.99%,N/A,174.89%,2020/12
Machinery & Equipment,01301.HK,D&G TECH,1.360,2.61,1.75,-1.87%,-2.66%,20.58%,-4.55%,N/A,5.36%,2020/12
Machinery & Equipment,01341.HK,HAO TIAN INTL,0.520,2.92,1.84,3.46%,5.80%,42.27%,45.45%,N/A,20.71%,2021/03
Machinery & Equipment,01496.HK,AP RENTALS,0.161,1.83,1.33,-1.83%,-2.63%,12.45%,-3.83%,N/A,8.36%,2021/03
Machinery & Equipment,01536.HK,YUK WING GP,0.250,5.25,3.63,-1.85%,-2.96%,36.53%,-4.14%,N/A,23.33%,2021/03
Machinery & Equipment,01645.HK,HAINA INTEL,1.180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E-Commerce & Internet Services,01137.HK,HKTV,9.600,1.70,1.52,6.10%,8.75%,25.72%,9.32%,N/A,14.22%,2020/12
E-Commerce & Internet Services,01357.HK,MEITU,1.680,3.58,3.57,-0.91%,-1.15%,66.49%,-3.43%,N/A,0.95%,2020/12
E-Commerce & Internet Services,01736.HK,PARENTING NET,0.150,2.11,2.05,-25.87%,-29.83%,32.64%,-104.24%,N/A,6.55%,2020/12
E-Commerce & Internet Services,01745.HK,LVJI TECH,1.050,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E-Commerce & Internet Services,01792.HK,CMON,0.050,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",03363.HK,ZHENGYE INT'L,0.630,1.06,0.93,2.04%,5.67%,15.68%,2.20%,27.27%,119.77%,2020/12
"Printing, Publishing & Packaging",03626.HK,HSSP INTL,0.630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Printing, Publishing & Packaging",06898.HK,CHINA ALUMCAN,0.490,4.17,3.32,5.47%,6.21%,35.40%,11.78%,37.08%,3.54%,2020/12
"Printing, Publishing & Packaging",08291.HK,WAN CHENG METAL,0.077,1.05,0.98,-8.81%,-38.54%,23.32%,-56.96%,N/A,250.38%,2020/12
IT Hardware,03336.HK,JU TENG INTL,1.630,1.14,0.79,0.79%,2.02%,14.31%,1.30%,66.23%,69.48%,2020/12
IT Hardware,03396.HK,LEGENDHOLDING,12.560,0.80,0.69,0.59%,6.40%,16.85%,0.93%,21.69%,231.89%,2020/12
IT Hardware,03638.HK,HUABANG TECH,0.112,1.48,1.44,-9.95%,-17.68%,3.10%,-4.60%,N/A,65.83%,2021/03
IT Hardware,03991.HK,CHANGHONG JH,0.850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
IT Hardware,06088.HK,FIT HON TENG,2.140,1.59,1.06,0.92%,1.94%,13.44%,0.99%,N/A,55.97%,2020/12
Machinery & Equipment,01651.HK,TSUGAMI CHINA,11.060,2.39,1.63,14.47%,22.29%,24.55%,12.57%,N/A,0.19%,2021/03
Machinery & Equipment,01660.HK,ZHAOBANGJI PPT,0.600,2.90,2.90,15.47%,19.96%,45.60%,36.74%,N/A,8.01%,2021/03
Machinery & Equipment,01673.HK,HUAZHANG TECH,1.350,1.18,1.04,-5.65%,-13.56%,20.15%,-21.05%,N/A,35.65%,2020/06
Machinery & Equipment,01786.HK,CRCCE,0.890,2.90,2.13,0.30%,0.41%,28.20%,1.43%,N/A,N/A,2020/12
Machinery & Equipment,01882.HK,HAITIAN INT'L,25.400,1.85,1.49,10.21%,16.16%,34.24%,20.24%,91.73%,8.93%,2020/12
E-Commerce & Internet Services,01849.HK,AM GROUP,0.540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E-Commerce & Internet Services,01909.HK,FIRE ROCK,3.120,17.96,17.96,44.92%,49.97%,92.15%,65.89%,12.22%,1.15%,2020/12
E-Commerce & Internet Services,01961.HK,JIU ZUN DIGITAL,0.520,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E-Commerce & Internet Services,01980.HK,TIANGE,1.060,4.01,4.01,2.27%,2.88%,91.83%,24.46%,N/A,5.52%,2020/12
Industrial Goods,00031.HK,CHINA AEROSPACE,0.690,2.30,2.02,1.84%,3.74%,27.04%,8.29%,20.79%,20.58%,2020/12
IT Hardware,06133.HK,VITAL INNO,0.242,4.79,4.61,-13.74%,-17.36%,-9.03%,-11.08%,N/A,3.76%,2020/12
IT Hardware,06939.HK,MEGAIN,1.890,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
IT Hardware,08051.HK,CIRCUTECH,6.500,3.51,2.85,4.63%,6.19%,8.29%,2.41%,N/A,0.76%,2020/12
Machinery & Equipment,02039.HK,CIMC,17.600,1.10,0.85,3.66%,13.47%,14.28%,5.68%,19.86%,87.35%,2020/12
Machinery & Equipment,02102.HK,TAK LEE MACH,0.275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Machinery & Equipment,02153.HK,TAT HONG EQUIP,1.490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Machinery & Equipment,02155.HK,MORIMATSU INTL,10.140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Machinery & Equipment,02398.HK,GOOD FRIEND,0.960,1.07,0.75,-12.86%,-56.05%,22.45%,-28.36%,N/A,105.55%,2020/12
Industrial Goods,00076.HK,ELATE HOLDINGS,0.027,22.77,2.84,0.75%,0.78%,15.47%,3.14%,N/A,0.24%,2020/12
Industrial Goods,00096.HK,YUSEI,1.000,1.07,0.68,3.27%,7.20%,12.28%,3.98%,15.85%,40.49%,2020/12
Industrial Goods,00148.HK,KINGBOARD HLDG,42.850,1.97,0.98,5.04%,8.42%,28.10%,10.81%,53.56%,30.87%,2020/12
